,is_talking,absolute_pitch,relative_pitch,is_voiced,intensity
0,False,-0.38,-0.470,False,3.7533875
1,False,-0.49,0.390,False,5.664839
2,False,-0.38,-0.440,False,0.7444454
3,False,-0.38,-0.020,False,1.0285068
4,False,-0.38,-0.130,False,-0.2296546
5,False,-0.38,-0.460,False,0.13830149
6,False,-0.38,-0.310,False,-1.3268611
7,False,-0.38,0.400,False,2.9393814
8,False,-0.38,0.060,False,0.87181437
9,False,-0.39,-0.050,False,-2.593448
10,False,-0.38,0.290,False,-1.1139462
11,False,-0.38,0.090,False,4.3291736
12,True,-0.38,-0.450,True,5.677642
13,True,-0.38,-0.490,True,5.7754745
14,True,-0.39,-0.150,True,8.393009
15,True,-0.38,-0.320,True,7.0760565
16,False,-0.38,-0.070,False,3.5637927
17,False,-0.38,-0.420,False,4.6725483
18,False,-0.5,-0.370,False,3.88394
19,False,-0.4,0.310,False,3.3138208
20,False,-0.4,0.150,False,8.2254715
21,False,-0.38,0.380,False,6.982758
22,False,-0.38,-0.420,False,4.9418936
23,False,-0.38,0.490,False,-0.7312404
24,False,-0.38,-0.370,False,5.788945
25,False,-0.38,-0.060,False,10.329546
26,False,-0.38,-0.170,False,7.427674
27,False,-0.38,0.180,False,3.3598928
28,False,-0.38,-0.460,False,3.902132
29,False,-0.38,0.420,False,-0.13809073
30,False,-0.38,0.080,False,5.2498093
31,False,-0.38,-0.130,False,3.0509546
32,False,-0.38,-0.240,False,5.972409
33,False,-0.38,-0.400,False,1.1172142
34,False,-0.21999999999999997,-0.440,False,-4.172475
35,False,-0.38,0.330,False,-0.53785866
36,False,-0.38,-0.130,False,3.7092068
37,False,-0.38,0.280,False,5.3785415
38,False,-0.38,-0.370,False,8.348592
39,False,-0.38,0.360,False,10.338935
40,False,-0.46,0.030,False,7.6765823
41,False,-0.41000000000000003,-0.150,False,6.544618
42,False,-0.39,-0.310,False,7.4134884
43,False,-0.38,-0.370,False,6.352193
44,False,-0.38,-0.430,False,4.1662025
45,False,-0.38,0.170,False,9.019309
46,False,-0.42,-0.490,False,4.0298486
47,False,-0.38,-0.030,False,4.290799
48,False,-0.38,-0.130,False,4.4294615
49,False,-0.38,-0.210,False,9.176037
50,False,-0.41000000000000003,-0.440,False,9.037685
51,False,-0.38,0.220,False,10.489067
52,False,-0.38,-0.070,False,6.871059
53,False,-0.47,-0.420,False,4.1701612
54,False,0.42000000000000004,-0.350,False,8.968655
55,False,-0.38,-0.480,False,11.616629
56,False,-0.38,-0.470,False,8.521275
57,False,-0.38,-0.170,False,5.8395233
58,False,-0.38,-0.490,False,1.1564231
59,False,-0.38,0.140,False,4.61668
60,False,-0.38,0.330,False,10.841847
61,False,0.06000000000000005,-0.260,False,3.7512264
62,False,-0.38,-0.500,False,3.9011753
63,False,-0.38,-0.200,False,7.07615
64,False,-0.38,-0.370,False,2.7646441
65,False,-0.38,0.070,False,0.644349
66,False,-0.38,-0.320,False,4.0072923
67,False,-0.38,-0.490,False,-2.3788733
68,False,-0.38,-0.260,False,4.520168
69,False,-0.49,-0.410,False,5.9930363
70,False,-0.38,-0.220,False,8.928303
71,False,-0.38,-0.420,False,12.681635
72,False,-0.38,-0.240,False,7.571854
73,False,-0.38,-0.200,False,5.9018464
74,False,-0.38,0.060,False,3.2989416
75,False,-0.38,-0.170,False,0.97705865
76,False,-0.38,-0.440,False,9.731602
77,False,-0.38,-0.290,False,10.19833
78,False,-0.38,-0.460,False,4.115209
79,False,-0.38,-0.270,False,5.397209
80,False,-0.38,-0.270,False,5.047713
81,False,-0.38,-0.330,False,6.975528
82,False,-0.14999999999999997,-0.110,False,21.023628
83,True,-0.38,-0.500,True,31.012184
84,True,-0.38,-0.450,True,30.74209
85,True,-0.38,0.420,True,17.796673
86,True,-0.45,-0.410,True,36.649597
87,True,-0.38,-0.370,True,36.355762
88,True,-0.46,-0.480,True,34.728447
89,True,-0.45,-0.220,True,11.492603
90,True,-0.44,0.410,True,11.3246155
91,False,-0.31,0.180,False,6.099305
92,False,0.15000000000000002,-0.380,False,5.8328204
93,False,-0.38,-0.230,False,5.530752
94,False,-0.38,0.400,False,3.3771467
95,False,-0.38,-0.320,False,2.3567004
96,False,-0.38,0.130,False,2.4400892
97,False,-0.38,-0.220,False,-3.6239452
98,False,-0.38,-0.320,False,-1.6117332
99,False,-0.38,-0.410,False,-4.8920207
100,False,-0.45,0.340,False,1.6006734
101,False,-0.38,-0.210,False,5.00793
102,False,-0.38,-0.240,False,3.3256507
103,False,-0.38,-0.440,False,9.281382
104,False,-0.38,-0.390,False,8.88397
105,False,-0.38,-0.470,False,8.545065
106,False,-0.16999999999999998,0.200,False,9.91459
107,False,-0.38,-0.460,False,9.524021
108,False,-0.38,-0.170,False,6.918752
109,False,0.09999999999999998,0.430,False,6.7359962
110,False,-0.38,-0.170,False,6.622438
